filename,path,channel,start_time,end_time,duration,fps
ch04_20200116133005.mp4,E:/Work/2020/video-playback/ref/videos\ch04_20200116133005.mp4,4,2020-01-16 13:30:05,2020-01-16 16:45:55,11750,12.0
ch06_20200116125044.mp4,E:/Work/2020/video-playback/ref/videos\ch06_20200116125044.mp4,6,2020-01-16 12:50:44,2020-01-16 14:13:34,4970,12.0
ch06_20200116130000.mp4,E:/Work/2020/video-playback/ref/videos\ch06_20200116130000.mp4,6,2020-01-16 13:00:00,2020-01-16 20:35:09,27309,12.0
ch06_20200116141405.mp4,E:/Work/2020/video-playback/ref/videos\ch06_20200116141405.mp4,6,2020-01-16 14:14:05,2020-01-16 17:29:55,11750,12.0
ch06_20200116225801.mp4,E:/Work/2020/video-playback/ref/videos\ch06_20200116225801.mp4,6,2020-01-16 22:58:01,2020-01-17 06:33:10,27309,12.0
ch07_20200116125801.mp4,E:/Work/2020/video-playback/ref/videos\ch07_20200116125801.mp4,7,2020-01-16 12:58:01,2020-01-16 20:33:10,27309,12.0
ch08_20200116135801.mp4,E:/Work/2020/video-playback/ref/videos\ch08_20200116135801.mp4,8,2020-01-16 13:58:01,2020-01-16 21:33:10,27309,12.0
ch10_20200116115801.mp4,E:/Work/2020/video-playback/ref/videos\ch10_20200116115801.mp4,10,2020-01-16 11:58:01,2020-01-16 19:33:10,27309,12.0
ch11_20200116115801.mp4,E:/Work/2020/video-playback/ref/videos\ch11_20200116115801.mp4,11,2020-01-16 11:58:01,2020-01-16 19:33:10,27309,12.0
ch12_20200116115801.mp4,E:/Work/2020/video-playback/ref/videos\ch12_20200116115801.mp4,12,2020-01-16 11:58:01,2020-01-16 19:33:10,27309,12.0
ch13_20200116115801.mp4,E:/Work/2020/video-playback/ref/videos\ch13_20200116115801.mp4,13,2020-01-16 11:58:01,2020-01-16 19:33:10,27309,12.0
ch14_20200116115801.mp4,E:/Work/2020/video-playback/ref/videos\ch14_20200116115801.mp4,14,2020-01-16 11:58:01,2020-01-16 19:33:10,27309,12.0
ch15_20200116115801.mp4,E:/Work/2020/video-playback/ref/videos\ch15_20200116115801.mp4,15,2020-01-16 11:58:01,2020-01-16 19:33:10,27309,12.0
ch16_20200116115801.mp4,E:/Work/2020/video-playback/ref/videos\ch16_20200116115801.mp4,16,2020-01-16 11:58:01,2020-01-16 19:33:10,27309,12.0
